Participant,Vegetarian,D_Onions,V_Onions,D_Bell peppers,V_Bell peppers,D_Mushrooms,V_Mushrooms,D_Jalapenos,V_Jalapenos,D_American cheese,V_American cheese,D_Steak,V_Steak,D_Bacon,V_Bacon,D_Provolone cheese,V_Provolone cheese,D_Parmesan cheese,V_Parmesan cheese,D_Tomatoes,V_Tomatoes,D_Mozzarella cheese,V_Mozzarella cheese,D_Spinach,V_Spinach,D_Pesto,V_Pesto,D_Ham,V_Ham,D_Swiss cheese,V_Swiss cheese,D_Mustard,V_Mustard,D_Turkey,V_Turkey,D_Garlic aioli,V_Garlic aioli,D_Chicken,V_Chicken,D_Pickles,V_Pickles,D_Basil,V_Basil,D_Cucumbers,V_Cucumbers,D_Coleslaw,V_Coleslaw,D_Mayonnaise,V_Mayonnaise,D_Cheddar cheese,V_Cheddar cheese,D_Lettuce,V_Lettuce,D_Pepperoni,V_Pepperoni,D_Meatballs,V_Meatballs,D_Marinara sauce,V_Marinara sauce,D_Pepper jack cheese,V_Pepper jack cheese,D_Avocado,V_Avocado,D_Salami,V_Salami,D_Pork,V_Pork,D_Roast beef,V_Roast beef,D_Hummus,V_Hummus,D_Pastrami,V_Pastrami,D_Gouda cheese,V_Gouda cheese,D_Ranch dressing,V_Ranch dressing,D_Feta cheese,V_Feta cheese,D_Tuna,V_Tuna,D_Olives,V_Olives,D_Soy chicken,V_Soy chicken,D_Falafel,V_Falafel,D_Egg salad,V_Egg salad,D_Peppers,V_Peppers,D_Black bean patty,V_Black bean patty,D_Sprouts,V_Sprouts,D_Guacamole,V_Guacamole,D_Mixed greens,V_Mixed greens,D_Vinaigrette,V_Vinaigrette,D_Cream cheese,V_Cream cheese,D_Vegan turkey,V_Vegan turkey,D_Arugula,V_Arugula,D_Artichoke hearts,V_Artichoke hearts,D_Vegan bacon,V_Vegan bacon,D_Carrots,V_Carrots
48580,y,0.6833333333333333,0.5125,,0.0,0.47619047619047616,0.125,0.4,0.05,0.0,0.0,,0.0,,0.0,0.6060606060606061,0.25,1.0,0.025,0.8507462686567164,0.7125,0.3333333333333333,0.025,0.5416666666666666,0.1625,0.34782608695652173,0.1,,0.0,0.3888888888888889,0.0875,0.5833333333333334,0.0875,,0.0,0.5263157894736842,0.125,,0.0,0.5909090909090909,0.1625,0.5,0.05,0.627906976744186,0.3375,0.5714285714285714,0.05,0.37037037037037035,0.125,0.5555555555555556,0.1875,0.6578947368421053,0.3125,,0.0,,0.0,,0.0,0.8461538461538461,0.1375,0.6666666666666666,0.325,,0.0,,0.0,,0.0,0.6190476190476191,0.1625,,0.0,,0.0,0.75,0.0375,0.9,0.1125,,0.0,0.4166666666666667,0.0625,0.47058823529411764,0.1,0.5,0.025,0.6666666666666666,0.05,0.4642857142857143,0.1625,0.7272727272727273,0.1,0.6571428571428571,0.2875,0.631578947368421,0.15,0.5238095238095238,0.1375,0.631578947368421,0.15,0.5,0.0375,0.2,0.025,0.4,0.05,0.7777777777777778,0.0875,0.5,0.0375,0.6,0.0375
51922,y,0.5166666666666667,0.3875,,0.0,0.6666666666666666,0.175,0.7,0.0875,0.5,0.0375,,0.0,,0.0,0.6060606060606061,0.25,0.0,0.0,0.7910447761194029,0.6625,0.5,0.0375,0.625,0.1875,0.7391304347826086,0.2125,,0.0,0.6666666666666666,0.15,0.5833333333333334,0.0875,,0.0,0.5789473684210527,0.1375,,0.0,0.6363636363636364,0.175,1.0,0.1,0.5348837209302325,0.2875,0.7142857142857143,0.0625,0.5185185185185185,0.175,0.5185185185185185,0.175,0.5263157894736842,0.25,,0.0,,0.0,,0.0,0.5384615384615384,0.0875,0.48717948717948717,0.2375,,0.0,,0.0,,0.0,0.6666666666666666,0.175,,0.0,,0.0,0.5,0.025,0.6,0.075,,0.0,0.6666666666666666,0.1,0.5294117647058824,0.1125,0.5,0.025,0.16666666666666666,0.0125,0.5714285714285714,0.2,0.45454545454545453,0.0625,0.5428571428571428,0.2375,0.42105263157894735,0.1,0.38095238095238093,0.1,0.631578947368421,0.15,0.3333333333333333,0.025,0.4,0.05,0.4,0.05,0.8888888888888888,0.1,0.5,0.0375,0.2,0.0125
56722,y,0.6,0.45,,0.0,0.2857142857142857,0.075,0.8,0.1,0.3333333333333333,0.025,,0.0,,0.0,0.48484848484848486,0.2,0.5,0.0125,0.7910447761194029,0.6625,0.6666666666666666,0.05,0.7083333333333334,0.2125,0.43478260869565216,0.125,,0.0,0.3888888888888889,0.0875,0.4166666666666667,0.0625,,0.0,0.631578947368421,0.15,,0.0,0.6818181818181818,0.1875,0.625,0.0625,0.6511627906976745,0.35,0.5714285714285714,0.05,0.48148148148148145,0.1625,0.5185185185185185,0.175,0.47368421052631576,0.225,,0.0,,0.0,,0.0,0.3076923076923077,0.05,0.6153846153846154,0.3,,0.0,,0.0,,0.0,0.5238095238095238,0.1375,,0.0,,0.0,0.5,0.025,0.7,0.0875,,0.0,0.4166666666666667,0.0625,0.5882352941176471,0.125,0.75,0.0375,0.8333333333333334,0.0625,0.5357142857142857,0.1875,0.5454545454545454,0.075,0.6,0.2625,0.42105263157894735,0.1,0.6190476190476191,0.1625,0.5789473684210527,0.1375,0.5,0.0375,0.5,0.0625,0.7,0.0875,0.3333333333333333,0.0375,0.5,0.0375,0.6,0.0375
57820,y,0.6666666666666666,0.5,,0.0,0.7142857142857143,0.1875,0.6,0.075,0.5,0.0375,,0.0,,0.0,0.5757575757575758,0.2375,0.5,0.0125,0.8805970149253731,0.7375,0.0,0.0,0.4583333333333333,0.1375,0.34782608695652173,0.1,,0.0,0.6111111111111112,0.1375,0.6666666666666666,0.1,,0.0,0.631578947368421,0.15,,0.0,0.5,0.1375,0.375,0.0375,0.627906976744186,0.3375,0.8571428571428571,0.075,0.5555555555555556,0.1875,0.48148148148148145,0.1625,0.6842105263157895,0.325,,0.0,,0.0,,0.0,0.5384615384615384,0.0875,0.6410256410256411,0.3125,,0.0,,0.0,,0.0,0.6666666666666666,0.175,,0.0,,0.0,0.75,0.0375,0.3,0.0375,,0.0,0.3333333333333333,0.05,0.47058823529411764,0.1,0.75,0.0375,0.3333333333333333,0.025,0.5,0.175,0.45454545454545453,0.0625,0.7142857142857143,0.3125,0.42105263157894735,0.1,0.6666666666666666,0.175,0.5789473684210527,0.1375,0.3333333333333333,0.025,0.5,0.0625,0.8,0.1,0.3333333333333333,0.0375,0.6666666666666666,0.05,0.6,0.0375
61636,y,0.6833333333333333,0.5125,,0.0,0.7619047619047619,0.2,0.7,0.0875,0.3333333333333333,0.025,,0.0,,0.0,0.5454545454545454,0.225,0.5,0.0125,0.8208955223880597,0.6875,0.3333333333333333,0.025,0.5833333333333334,0.175,0.43478260869565216,0.125,,0.0,0.5555555555555556,0.125,0.5,0.075,,0.0,0.5789473684210527,0.1375,,0.0,0.6818181818181818,0.1875,0.625,0.0625,0.6744186046511628,0.3625,0.2857142857142857,0.025,0.5555555555555556,0.1875,0.5925925925925926,0.2,0.6578947368421053,0.3125,,0.0,,0.0,,0.0,0.6153846153846154,0.1,0.6153846153846154,0.3,,0.0,,0.0,,0.0,0.7619047619047619,0.2,,0.0,,0.0,0.5,0.025,0.5,0.0625,,0.0,0.5833333333333334,0.0875,0.47058823529411764,0.1,0.5,0.025,0.16666666666666666,0.0125,0.6071428571428571,0.2125,0.6363636363636364,0.0875,0.6857142857142857,0.3,0.5789473684210527,0.1375,0.47619047619047616,0.125,0.5263157894736842,0.125,0.3333333333333333,0.025,0.3,0.0375,0.3,0.0375,0.7777777777777778,0.0875,0.16666666666666666,0.0125,0.4,0.025
63160,y,0.6833333333333333,0.5125,,0.0,0.5714285714285714,0.15,0.5,0.0625,0.5,0.0375,,0.0,,0.0,0.5151515151515151,0.2125,0.5,0.0125,0.8955223880597015,0.75,0.16666666666666666,0.0125,0.5416666666666666,0.1625,0.30434782608695654,0.0875,,0.0,0.5,0.1125,0.5833333333333334,0.0875,,0.0,0.631578947368421,0.15,,0.0,0.45454545454545453,0.125,0.625,0.0625,0.7209302325581395,0.3875,0.5714285714285714,0.05,0.5555555555555556,0.1875,0.5555555555555556,0.1875,0.631578947368421,0.3,,0.0,,0.0,,0.0,0.7692307692307693,0.125,0.5384615384615384,0.2625,,0.0,,0.0,,0.0,0.8095238095238095,0.2125,,0.0,,0.0,0.0,0.0,0.5,0.0625,,0.0,0.6666666666666666,0.1,0.4117647058823529,0.0875,1.0,0.05,0.5,0.0375,0.5714285714285714,0.2,0.6363636363636364,0.0875,0.7142857142857143,0.3125,0.5789473684210527,0.1375,0.5238095238095238,0.1375,0.5789473684210527,0.1375,0.6666666666666666,0.05,0.5,0.0625,0.9,0.1125,0.4444444444444444,0.05,0.16666666666666666,0.0125,0.6,0.0375
63934,y,0.6666666666666666,0.5,,0.0,0.47619047619047616,0.125,0.4,0.05,0.16666666666666666,0.0125,,0.0,,0.0,0.6666666666666666,0.275,0.5,0.0125,0.8805970149253731,0.7375,0.5,0.0375,0.625,0.1875,0.43478260869565216,0.125,,0.0,0.4444444444444444,0.1,0.5833333333333334,0.0875,,0.0,0.42105263157894735,0.1,,0.0,0.5,0.1375,0.375,0.0375,0.6046511627906976,0.325,0.5714285714285714,0.05,0.6666666666666666,0.225,0.6296296296296297,0.2125,0.6578947368421053,0.3125,,0.0,,0.0,,0.0,0.8461538461538461,0.1375,0.6923076923076923,0.3375,,0.0,,0.0,,0.0,0.5238095238095238,0.1375,,0.0,,0.0,0.5,0.025,0.2,0.025,,0.0,0.6666666666666666,0.1,0.5294117647058824,0.1125,0.5,0.025,0.3333333333333333,0.025,0.42857142857142855,0.15,0.45454545454545453,0.0625,0.6285714285714286,0.275,0.5263157894736842,0.125,0.3333333333333333,0.0875,0.5789473684210527,0.1375,0.8333333333333334,0.0625,0.7,0.0875,0.4,0.05,0.2222222222222222,0.025,0.6666666666666666,0.05,0.6,0.0375
65164,y,0.6666666666666666,0.5,,0.0,0.5714285714285714,0.15,0.7,0.0875,0.3333333333333333,0.025,,0.0,,0.0,0.6666666666666666,0.275,0.5,0.0125,0.835820895522388,0.7,0.16666666666666666,0.0125,0.4166666666666667,0.125,0.5652173913043478,0.1625,,0.0,0.4444444444444444,0.1,0.3333333333333333,0.05,,0.0,0.6842105263157895,0.1625,,0.0,0.6363636363636364,0.175,0.625,0.0625,0.5813953488372093,0.3125,0.5714285714285714,0.05,0.5925925925925926,0.2,0.5925925925925926,0.2,0.6842105263157895,0.325,,0.0,,0.0,,0.0,0.5384615384615384,0.0875,0.6410256410256411,0.3125,,0.0,,0.0,,0.0,0.47619047619047616,0.125,,0.0,,0.0,0.75,0.0375,0.3,0.0375,,0.0,0.4166666666666667,0.0625,0.7058823529411765,0.15,0.5,0.025,0.3333333333333333,0.025,0.35714285714285715,0.125,0.9090909090909091,0.125,0.6285714285714286,0.275,0.47368421052631576,0.1125,0.2857142857142857,0.075,0.3684210526315789,0.0875,0.3333333333333333,0.025,0.7,0.0875,0.5,0.0625,0.4444444444444444,0.05,0.5,0.0375,0.2,0.0125
66469,y,0.6833333333333333,0.5125,,0.0,0.5714285714285714,0.15,0.5,0.0625,0.6666666666666666,0.05,,0.0,,0.0,0.5454545454545454,0.225,0.5,0.0125,0.8955223880597015,0.75,0.6666666666666666,0.05,0.625,0.1875,0.6086956521739131,0.175,,0.0,0.5,0.1125,0.5,0.075,,0.0,0.6842105263157895,0.1625,,0.0,0.3181818181818182,0.0875,0.5,0.05,0.4883720930232558,0.2625,0.42857142857142855,0.0375,0.5555555555555556,0.1875,0.5925925925925926,0.2,0.6842105263157895,0.325,,0.0,,0.0,,0.0,0.6153846153846154,0.1,0.5128205128205128,0.25,,0.0,,0.0,,0.0,0.6190476190476191,0.1625,,0.0,,0.0,0.5,0.025,0.4,0.05,,0.0,0.5,0.075,0.4117647058823529,0.0875,0.75,0.0375,0.6666666666666666,0.05,0.5357142857142857,0.1875,0.6363636363636364,0.0875,0.42857142857142855,0.1875,0.3684210526315789,0.0875,0.5238095238095238,0.1375,0.5789473684210527,0.1375,0.16666666666666666,0.0125,0.4,0.05,0.7,0.0875,0.4444444444444444,0.05,0.6666666666666666,0.05,0.0,0.0
66979,y,0.6,0.45,,0.0,0.6190476190476191,0.1625,0.6,0.075,0.3333333333333333,0.025,,0.0,,0.0,0.696969696969697,0.2875,1.0,0.025,0.8656716417910447,0.725,0.3333333333333333,0.025,0.5833333333333334,0.175,0.6086956521739131,0.175,,0.0,0.6111111111111112,0.1375,0.6666666666666666,0.1,,0.0,0.5263157894736842,0.125,,0.0,0.4090909090909091,0.1125,0.5,0.05,0.5581395348837209,0.3,0.2857142857142857,0.025,0.5185185185185185,0.175,0.6666666666666666,0.225,0.6842105263157895,0.325,,0.0,,0.0,,0.0,0.46153846153846156,0.075,0.6153846153846154,0.3,,0.0,,0.0,,0.0,0.47619047619047616,0.125,,0.0,,0.0,0.25,0.0125,0.4,0.05,,0.0,0.5,0.075,0.47058823529411764,0.1,0.25,0.0125,0.8333333333333334,0.0625,0.5714285714285714,0.2,0.5454545454545454,0.075,0.6285714285714286,0.275,0.42105263157894735,0.1,0.42857142857142855,0.1125,0.3684210526315789,0.0875,0.3333333333333333,0.025,0.5,0.0625,0.5,0.0625,0.5555555555555556,0.0625,0.3333333333333333,0.025,0.6,0.0375
