participant,slider_validity,n_valid_trials
20890,0.45614035087719296,57
38785,0.47761194029850745,67
39559,0.4931506849315068,73
39745,0.47058823529411764,68
39937,,0
40882,0.4883720930232558,43
41170,0.45588235294117646,68
42610,0.6,70
43288,0.4852941176470588,68
43999,0.582089552238806,67
44152,0.5068493150684932,73
44257,0.5074626865671642,67
44305,0.4594594594594595,74
44482,0.3472222222222222,72
44497,,0
48580,,0
48733,0.43548387096774194,62
49024,0.46938775510204084,49
49264,0.42028985507246375,69
49291,,0
49432,0.4788732394366197,71
50110,0.5714285714285714,70
50557,0.5352112676056338,71
50653,0.8888888888888888,9
51076,0.43859649122807015,57
51571,0.4166666666666667,72
51628,0.4864864864864865,74
51922,,0
52204,0.5070422535211268,71
52513,0.43661971830985913,71
52603,,0
53332,0.5138888888888888,72
53575,0.4507042253521127,71
53704,,0
53800,,0
53923,,0
54088,,0
54361,0.391304347826087,69
54679,0.5352112676056338,71
55054,0.5072463768115942,69
55375,0.5211267605633803,71
55816,0.5873015873015873,63
55864,,0
56308,0.5138888888888888,72
56401,0.5285714285714286,70
56488,,0
56698,0.5645161290322581,62
56722,,0
56875,0.543859649122807,57
57025,0.421875,64
57397,0.4696969696969697,66
57595,0.5138888888888888,72
57598,0.5245901639344263,61
57604,0.5714285714285714,70
57820,,0
57835,0.49056603773584906,53
57958,0.5416666666666666,72
58120,0.581081081081081,74
58228,0.5294117647058824,68
58345,0.6086956521739131,69
58528,0.4852941176470588,68
58588,0.5138888888888888,72
58741,0.47619047619047616,63
59419,0.4794520547945205,73
59815,0.5588235294117647,68
59866,0.4722222222222222,72
59905,0.4931506849315068,73
60046,0.5285714285714286,70
60094,0.47058823529411764,68
60658,0.453125,64
60772,0.43283582089552236,67
61366,,0
61465,0.36486486486486486,74
61513,0.4857142857142857,70
61540,,0
61636,,0
61657,0.4857142857142857,70
61969,0.40298507462686567,67
62065,0.576271186440678,59
62275,0.5774647887323944,71
62449,0.49295774647887325,71
62479,0.47058823529411764,68
62665,0.5285714285714286,70
63070,0.5138888888888888,72
63148,0.5373134328358209,67
63160,,0
63187,0.5373134328358209,67
63331,0.6086956521739131,69
63505,,0
63523,0.4852941176470588,68
63610,0.5416666666666666,72
63826,,0
63934,,0
64123,0.4788732394366197,71
64213,0.48484848484848486,66
64414,0.6142857142857143,70
64459,0.5857142857142857,70
65164,,0
65248,0.6268656716417911,67
65371,,0
65461,0.5238095238095238,63
65467,0.4642857142857143,56
65497,0.4857142857142857,70
65569,,0
65596,0.5151515151515151,66
65647,0.4857142857142857,70
65698,,0
65713,0.5342465753424658,73
65761,0.4838709677419355,62
65869,0.4918032786885246,61
65902,,0
65920,0.5294117647058824,68
65935,0.43478260869565216,69
66040,0.4927536231884058,69
66043,0.5294117647058824,68
66046,0.5857142857142857,70
66079,0.5,68
66082,0.4657534246575342,73
66088,0.45454545454545453,55
66268,0.39705882352941174,68
66280,0.5217391304347826,69
66295,0.49230769230769234,65
66361,0.5454545454545454,66
66364,0.5416666666666666,72
66403,,0
66469,,0
66547,0.5277777777777778,72
66559,0.46774193548387094,62
66592,,0
66622,,0
66697,0.5070422535211268,71
66703,0.581081081081081,74
66805,0.547945205479452,73
66835,0.5161290322580645,62
66934,0.5507246376811594,69
66937,0.5915492957746479,71
66964,0.4931506849315068,73
66979,,0
67003,0.5087719298245614,57
67024,0.5,12
67174,,0
67216,0.6071428571428571,56
67282,,0
67294,0.3918918918918919,74
67357,0.4583333333333333,72
67366,0.5942028985507246,69
67471,,0
67519,0.5084745762711864,59
67651,0.6363636363636364,66
67765,0.4305555555555556,72
67798,,0
67930,0.4246575342465753,73
67960,0.4861111111111111,72
67993,0.4084507042253521,71
68077,0.5909090909090909,66
68206,,0
68428,0.4714285714285714,70
68476,0.5074626865671642,67
68482,0.43243243243243246,74
68566,0.44594594594594594,74
68596,0.5352112676056338,71
68650,0.4057971014492754,69
68662,0.5671641791044776,67
68683,0.5074626865671642,67
68692,0.5405405405405406,74
68794,0.4931506849315068,73
68809,0.5735294117647058,68
68821,,0
68848,0.4583333333333333,72
68908,0.5454545454545454,66
68917,0.4246575342465753,73
68959,0.5294117647058824,68
68992,0.4583333333333333,72
68995,0.5492957746478874,71
69004,,0
69007,,0
69013,,0
69022,0.5230769230769231,65
69034,,0
69037,0.4594594594594595,74
69040,,0
69046,,0
69055,0.5211267605633803,71
69061,0.4782608695652174,69
69064,0.4492753623188406,69
69076,0.5507246376811594,69
69109,0.5223880597014925,67
69136,0.3333333333333333,6
69148,0.5,56
69292,0.6086956521739131,69
