Ingredient,Pearson Correlation,P-Value,StandardError
{'Tomatoes'},0.5282205905740657,0.07750161015330109,0.01931062079060643
{'Onions'},0.06938201444259885,0.8303463846304916,0.01391307754625059
{'Cucumbers'},-0.32163376045133857,0.30798072479372024,0.026028406418954222
{'Lettuce'},0.2568423853566746,0.42032400000411607,0.012062663350054636
{'Avocado'},0.4408256145171119,0.151458880117743,0.028677509446507314
{'Sprouts'},0.3367651026299218,0.2844463726311442,0.01489961910879219
{'Provolone cheese'},0.037781832156935286,0.907198010630496,0.013468374800759917
{'Peppers'},-0.07290616848733832,0.8313075770083195,0.033501450269511936
{'Cheddar cheese'},6.3877696042264e-17,0.9999999999999998,0.010868153515138864
{'Mayonnaise'},-0.17813338448959465,0.6002603164894085,0.015505926058343557
