"Participant","Vegetarian","Choice.1","Choice.2","Choice.3","Choice.4","Choice.5","Choice.6","Choice.7","Choice.8","Choice.9","Choice.10","Choice.11","Choice.12","Choice.13","Choice.14","Choice.15","Choice.16","Choice.17","Choice.18","Choice.19","Choice.20","Choice.21","Choice.22","Choice.23","Choice.24","Choice.25","Choice.26","Choice.27","Choice.28","Choice.29","Choice.30","Choice.31","Choice.32","Choice.33","Choice.34","Choice.35","Choice.36","Choice.37","Choice.38","Choice.39","Choice.40","Choice.41","Choice.42","Choice.43","Choice.44","Choice.45","Choice.46","Choice.47","Choice.48","Choice.49","Choice.50","Choice.51","Choice.52","Choice.53","Choice.54","Choice.55","Choice.56","Choice.57","Choice.58","Choice.59","Choice.60","Choice.61","Choice.62","Choice.63","Choice.64","Choice.65","Choice.66","Choice.67","Choice.68","Choice.69","Choice.70","Choice.71","Choice.72","Choice.73","Choice.74","Choice.75","Choice.76","Choice.77","Choice.78","Choice.79","Choice.80","Stop.1","Stop.2","Stop.3","Stop.4","Stop.5","Stop.6","Stop.7","Stop.8","Stop.9","Stop.10","Stop.11","Stop.12","Stop.13","Stop.14","Stop.15","Stop.16","Stop.17","Stop.18","Stop.19","Stop.20","Stop.21","Stop.22","Stop.23","Stop.24","Stop.25","Stop.26","Stop.27","Stop.28","Stop.29","Stop.30","Stop.31","Stop.32","Stop.33","Stop.34","Stop.35","Stop.36","Stop.37","Stop.38","Stop.39","Stop.40","Stop.41","Stop.42","Stop.43","Stop.44","Stop.45","Stop.46","Stop.47","Stop.48","Stop.49","Stop.50","Stop.51","Stop.52","Stop.53","Stop.54","Stop.55","Stop.56","Stop.57","Stop.58","Stop.59","Stop.60","Stop.61","Stop.62","Stop.63","Stop.64","Stop.65","Stop.66","Stop.67","Stop.68","Stop.69","Stop.70","Stop.71","Stop.72","Stop.73","Stop.74","Stop.75","Stop.76","Stop.77","Stop.78","Stop.79","Stop.80","Rating.1","Rating.2","Rating.3","Rating.4","Rating.5","Rating.6","Rating.7","Rating.8","Rating.9","Rating.10","Sequence.1","Sequence.2","Sequence.3","Sequence.4","Sequence.5","Sequence.6","Sequence.7","Sequence.8","Sequence.9","Sequence.10","Sequence.11","Sequence.12","Sequence.13","Sequence.14","Sequence.15","Sequence.16","Sequence.17","Sequence.18","Sequence.19","Sequence.20","Sequence.21","Sequence.22","Sequence.23","Sequence.24","Sequence.25","Sequence.26","Sequence.27","Sequence.28","Sequence.29","Sequence.30","Sequence.31","Sequence.32","Sequence.33","Sequence.34","Sequence.35","Sequence.36","Sequence.37","Sequence.38","Sequence.39","Sequence.40","Sequence.41","Sequence.42","Sequence.43","Sequence.44","Sequence.45","Sequence.46","Sequence.47","Sequence.48","Sequence.49","Sequence.50","Sequence.51","Sequence.52","Sequence.53","Sequence.54","Sequence.55","Sequence.56","Sequence.57","Sequence.58","Sequence.59","Sequence.60","Sequence.61","Sequence.62","Sequence.63","Sequence.64","Sequence.65","Sequence.66","Sequence.67","Sequence.68","Sequence.69","Sequence.70","Sequence.71","Sequence.72","Sequence.73","Sequence.74","Sequence.75","Sequence.76","Sequence.77","Sequence.78","Sequence.79","Sequence.80"
20890,"n",1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,2,1,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0
38785,"n",1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,3,1,1,3,1,1,1,5,5,1,2,2,4,2,3,3,5,1,1,3,4,1,4,2,3,4,3,1,1,1,3,2,4,4,1,1,2,2,1,1,3,3,3,1,1,3,1,1,4,2,1,1,4,4,4,1,4,1,2,1,3,2,1,3,1,5,3,1,1,1,2,1,2,1,1,2,4,1,3, 2, 4, 5, 6, 6, 5, 4, 4, 4, 6,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
39559,"n",0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,4,1,1,1,2,1,5,1,1,4,1,1,1,1,1,3,1,2,1,2,1,1,2,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,2,1,3,1,1,5,1,1,1,1,5,1,3,1,1,1,2,1,2,3,1,2,2,1,5,3,1,1,1,1, 5, 7, 4, 1, 7, 4, 6, 7, 4, 1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
39745,"n",0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,6,3,4,1,1,1,4,3,1,5,6,4,3,1,1,3,1,1,1,3,1,1,5,1,4,1,1,6,5,1,5,3,1,2,4,4,1,1,1,1,1,5,2,1,1,3,1,1,1,4,3,5,1,3,1,2,3,1,1,1,4,3,4,3,1,2,1,4,1,2,1,3,4,1,1,3,4,3,1,1, 6, 7, 6, 7, 7, 6, 5, 6, 6, 6,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1
39937,"n",0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
40882,"n",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,3,1,1,1,1, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0
41170,"n",0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,3,2,2,3,3,3,2,3,2,2,2,1,2,2,3,3,2,1,3,1,1,1,3,1,2,1,5,4,3,4,3,1,3,2,1,3,4,3,2,3,3,1,2,2,5,3,3,3,3,1,4,2,3,2,4,2,2,2,2,4,3,1,3,2,2,2,5,4,2,3,1,3,3,1,3,4,2,2,3,3, 6, 2, 6, 2, 6, 5, 6, 6, 6, 6,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1
42610,"n",1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,5,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,3,5,3,2,3,3,6,4,4,3,6,4,4,2,4,4,5,4,3,4,3,4,4,4,4,5,4,3,6,4,3,5,5,4,3,3,4,3,4,5,5,6,4,1,3,5,4,5,3,4,3,4,1,6,4,4,4,4,4, 3, 3, 4, 3, 7, 5, 6, 7, 6, 7,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
43288,"n",0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,3,4,2,4,2,3,2,3,4,2,3,2,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,4,3,4,3,5,3,4,3,2,1,4,1,2,2,3,5,3,2,3,3,3,2,3,3,2,4,4,2,2,2,2,3,3,3,1,3,3,3,3,3,2,3,4,3,3,3, 6, 5, 6, 7, 7, 6, 6, 6, 5, 3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
43999,"n",1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 6, 6, 4, 6, 5, 3, 5, 6, 5, 5,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
